months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
94,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,other-relative,0,-52600,2/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,1840 Embaracadero Ave,1,?,1,3,YES,64100,6410,6410,51280,N
117,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,unmarried,47500,-32500,2/5/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,4058 Tree Drive,2,YES,0,1,?,55440,5040,10080,40320,Y
111,250/500,500,1459.97,5000000,MALE,MD,sales,other-relative,0,0,2/27/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,4983 MLK Ridge,3,NO,1,2,NO,80850,7350,14700,58800,Y
242,100/300,500,1238.65,0,FEMALE,High School,transport-moving,husband,0,-44600,1/27/2015,Vehicle Theft,?,Trivial Damage,Police,9744 Texas Drive,1,YES,1,1,NO,7480,680,680,6120,N
440,250/500,500,1050.76,0,MALE,PhD,transport-moving,wife,41500,-70200,1/26/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,8821 Elm St,1,?,2,3,NO,53640,5960,5960,41720,Y
20,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,wife,0,0,1/13/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,2886 Tree Ridge,3,NO,2,2,NO,63250,5750,11500,46000,Y
461,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,own-child,0,0,1/14/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,5236 Weaver Drive,3,NO,0,1,?,59040,9840,9840,39360,N
208,250/500,500,1153.49,0,MALE,Associate,craft-repair,other-relative,0,0,2/22/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,5862 Apache Ridge,3,YES,1,0,YES,50500,10100,5050,35350,N
279,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,other-relative,0,0,1/17/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,7859 4th Ridge,1,YES,0,1,NO,57690,6410,12820,38460,Y
244,100/300,500,1342.8,0,FEMALE,MD,sales,husband,0,0,2/2/2015,Vehicle Theft,?,Trivial Damage,Police,6259 Weaver St,1,YES,1,3,YES,5940,660,660,4620,N
134,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,unmarried,0,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,9980 Lincoln Ave,3,?,0,2,YES,47790,5310,5310,37170,Y
122,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,2/2/2015,Parked Car,?,Trivial Damage,None,7828 Cherokee Ave,1,?,0,1,NO,3850,350,350,3150,N
156,100/300,2000,1134.08,0,MALE,PhD,other-service,husband,0,0,2/7/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,5812 Oak St,1,?,2,0,?,59000,5900,5900,47200,Y
232,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,husband,0,-33600,1/18/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,2318 Washington Hwy,3,NO,0,1,?,70600,7060,14120,49420,Y
244,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,other-relative,0,-45000,1/10/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,8809 Flute St,3,?,1,1,?,61490,5590,11180,44720,N
84,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,wife,44400,-51500,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,3184 Oak Ave,1,NO,1,0,YES,57640,5240,10480,41920,N
394,250/500,500,1401.2,0,FEMALE,High School,craft-repair,own-child,51500,0,1/25/2015,Vehicle Theft,?,Trivial Damage,Police,6493 Lincoln Lane,1,NO,1,0,NO,6890,1060,1060,4770,N
246,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,wife,34400,-33100,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,7162 Maple Ave,3,?,2,2,?,53280,11840,5920,35520,Y
35,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,unmarried,52100,-46900,2/24/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,5455 Tree Ridge,3,NO,0,0,?,78300,15660,7830,54810,N
156,100/300,500,1080.13,0,MALE,Associate,protective-serv,other-relative,0,-61000,1/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,5778 Pine Ridge,3,YES,0,3,NO,41490,4610,4610,32270,N
195,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,wife,57800,-53300,2/25/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,3797 Solo Lane,3,YES,2,3,YES,68970,12540,6270,50160,N
369,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,husband,55400,0,1/27/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,9373 Pine Hwy,3,?,2,0,YES,85300,17060,8530,59710,N
271,100/300,1000,1251.65,0,FEMALE,Associate,other-service,wife,71200,0,2/19/2015,Parked Car,?,Minor Damage,None,1365 Francis Ave,1,NO,0,0,NO,3080,560,280,2240,N
332,100/300,2000,1083.01,0,MALE,MD,craft-repair,other-relative,91900,0,1/31/2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,9239 Washington Ridge,4,YES,2,0,?,71760,11040,11040,49680,Y
107,100/300,500,974.59,0,FEMALE,JD,armed-forces,wife,62800,0,1/18/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,3416 Washington Drive,3,?,1,0,NO,59700,11940,11940,35820,N
217,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,other-relative,49900,-19800,1/10/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,1923 2nd Hwy,3,NO,0,2,?,64920,10820,10820,43280,N
243,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,own-child,0,-75700,1/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6451 1st Hwy,3,?,0,1,NO,37530,4170,4170,29190,N
296,250/500,2000,1219.27,0,MALE,Associate,tech-support,husband,53100,-63400,2/16/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,1267 Francis Hwy,3,YES,1,2,NO,64080,7120,7120,49840,N
264,100/300,500,1411.3,0,MALE,PhD,prof-specialty,unmarried,55600,0,2/8/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4158 Washington Lane,1,NO,1,0,?,60390,10980,5490,43920,Y
108,100/300,2000,694.45,0,FEMALE,JD,armed-forces,not-in-family,0,0,1/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,3796 Cherokee Drive,3,?,0,1,YES,64350,5850,11700,46800,Y
32,100/300,500,1006.77,6000000,FEMALE,College,other-service,own-child,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,7434 Oak Hwy,3,YES,2,1,YES,70900,14180,7090,49630,N
259,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,unmarried,0,-83900,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,5178 Weaver Hwy,3,NO,1,3,?,46560,7760,7760,31040,N
186,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,wife,37600,-37600,1/14/2015,Vehicle Theft,?,Trivial Damage,Police,8477 Francis Hwy,1,NO,2,1,?,4730,860,860,3010,Y
201,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,not-in-family,0,0,2/18/2015,Vehicle Theft,?,Minor Damage,Police,7693 Britain Lane,1,YES,0,0,YES,6820,1240,1240,4340,N
436,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,other-relative,47400,-27600,1/10/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,3658 Rock Drive,1,?,0,2,?,59900,11980,5990,41930,Y
189,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,own-child,0,-49400,2/13/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,2617 Andromedia Drive,3,?,1,3,YES,79560,13260,13260,53040,N
105,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,not-in-family,0,-40900,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,9279 Oak Hwy,1,YES,0,1,?,70290,12780,6390,51120,N
163,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,not-in-family,26900,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,3439 Andromedia Hwy,3,YES,2,0,NO,63910,5810,11620,46480,N
219,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,not-in-family,68700,0,1/29/2015,Vehicle Theft,?,Trivial Damage,None,5901 Elm Drive,1,?,1,0,NO,6400,640,640,5120,N
88,250/500,1000,1194,0,FEMALE,JD,handlers-cleaners,husband,0,0,2/13/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,3982 Washington Hwy,1,YES,1,2,YES,66780,7420,7420,51940,Y
40,500/1000,1000,1248.25,4000000,FEMALE,College,sales,own-child,0,-33300,2/1/2015,Parked Car,?,Minor Damage,Police,3376 5th Drive,1,NO,0,2,?,8760,1460,1460,5840,N
284,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,wife,0,0,1/29/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3936 Tree Drive,1,YES,0,1,?,94160,8560,17120,68480,N
59,250/500,2000,782.23,0,MALE,College,protective-serv,other-relative,64200,-32300,2/6/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6605 Tree Ave,3,?,0,2,NO,51570,5730,11460,34380,N
39,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,husband,0,-15700,1/28/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,3102 Apache St,3,?,1,0,NO,52700,10540,10540,31620,Y
147,500/1000,1000,1275.81,0,MALE,High School,sales,wife,0,-48300,1/21/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,7756 Pine Hwy,1,YES,2,2,?,101010,15540,15540,69930,N
156,250/500,500,1090.65,0,MALE,High School,exec-managerial,unmarried,0,-51800,1/16/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7142 5th Lane,4,?,1,2,YES,53400,5340,5340,42720,Y
123,250/500,500,1326,0,FEMALE,Associate,prof-specialty,wife,0,-54600,2/17/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,2914 Oak Drive,1,?,1,2,NO,72120,12020,12020,48080,N
231,250/500,2000,972.47,0,MALE,College,protective-serv,wife,0,-58100,2/1/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,6522 Apache Drive,3,YES,2,2,YES,77100,7710,15420,53970,N
247,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,wife,0,0,2/25/2015,Parked Car,?,Trivial Damage,Police,5279 Pine Ridge,1,?,2,3,?,3300,600,0,2700,N
194,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,not-in-family,0,0,2/26/2015,Parked Car,?,Minor Damage,None,8078 Britain Hwy,1,YES,1,0,?,5940,1080,540,4320,N
119,250/500,2000,1097.64,0,MALE,High School,transport-moving,other-relative,27100,0,2/6/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1133 Apache St,2,NO,1,0,?,63720,7080,21240,35400,N
259,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,not-in-family,0,-39300,2/3/2015,Vehicle Theft,?,Trivial Damage,Police,2873 Flute Ave,1,NO,1,3,NO,7680,1280,640,5760,N
107,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,own-child,20000,-82700,1/27/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,8509 Apache St,3,YES,1,2,?,93730,14420,21630,57680,N
48,100/300,2000,1400.74,0,MALE,College,sales,other-relative,34000,-55600,1/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,8245 4th Hwy,3,YES,0,2,?,87300,17460,17460,52380,N
267,250/500,500,1155.53,5000000,MALE,JD,transport-moving,wife,0,-35200,1/24/2015,Parked Car,?,Trivial Damage,Police,3094 Best Lane,1,?,0,2,NO,5670,1260,630,3780,N
286,250/500,500,1386.93,0,MALE,High School,priv-house-serv,husband,54100,-77600,1/17/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,8188 Tree Ave,3,YES,0,0,NO,65800,13160,6580,46060,N
175,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,wife,82400,-57100,2/23/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,5224 5th Lane,1,?,2,1,YES,36720,4080,4080,28560,Y
111,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,own-child,0,0,1/9/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,2230 1st St,1,?,1,1,YES,52800,4800,9600,38400,Y
151,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,unmarried,44000,0,2/15/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,6719 Flute St,3,NO,1,2,YES,59100,5910,5910,47280,Y
156,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,unmarried,0,-53800,1/16/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,8064 4th Ave,3,?,1,1,YES,77440,14080,7040,56320,N
165,250/500,2000,1247.87,0,MALE,Masters,armed-forces,husband,0,-39700,1/14/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,2469 Francis Lane,3,NO,2,2,NO,45700,4570,4570,36560,N
253,100/300,2000,1312.75,0,FEMALE,PhD,sales,other-relative,81300,0,1/1/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4671 5th Ridge,3,NO,2,2,YES,80740,7340,14680,58720,Y
10,100/300,2000,765.64,0,MALE,MD,sales,not-in-family,0,-22200,2/16/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6985 Maple Lane,3,?,0,3,?,31350,2850,5700,22800,Y
158,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,other-relative,0,-38600,1/4/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,7791 Britain Ridge,1,?,0,0,?,35000,3500,7000,24500,N
436,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,own-child,39000,0,1/12/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,6355 4th Hwy,3,?,2,2,NO,68000,13600,6800,47600,N
91,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,unmarried,43900,0,1/8/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,3495 Britain Drive,3,YES,2,0,?,84500,13000,13000,58500,N
256,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,wife,0,-39500,1/22/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2980 Sky Ridge,1,NO,2,1,?,75500,7550,15100,52850,N
274,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,not-in-family,0,0,1/13/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,5914 Oak Ave,3,NO,1,3,?,90600,15100,15100,60400,N
275,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,wife,39400,-63900,1/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,3835 5th Ave,3,YES,1,1,?,64320,5360,10720,48240,N
1,250/500,500,903.32,0,FEMALE,High School,transport-moving,not-in-family,0,0,1/19/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5925 Tree Hwy,3,?,1,0,?,31700,6340,3170,22190,N
85,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,other-relative,51600,-73900,1/31/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,6250 1st Ridge,1,YES,0,1,YES,74280,12380,12380,49520,Y
233,100/300,2000,1603.42,0,FEMALE,High School,sales,wife,61600,-30200,2/6/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,1346 5th Lane,1,YES,0,2,YES,80520,13420,6710,60390,N
142,250/500,2000,1616.58,0,MALE,JD,adm-clerical,husband,58500,-46800,2/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1128 Maple Lane,3,YES,0,3,YES,63600,6360,12720,44520,N
266,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,husband,0,0,1/2/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,6309 Cherokee Ave,1,?,1,2,YES,32800,3280,3280,26240,N
350,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,other-relative,0,0,2/26/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,4618 Flute Ave,3,NO,0,2,NO,44190,9820,4910,29460,N
97,250/500,1000,1252.08,0,MALE,College,exec-managerial,not-in-family,0,0,2/8/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,6191 Oak Lane,2,YES,2,2,NO,50400,10080,5040,35280,Y
399,500/1000,2000,995.56,0,MALE,JD,tech-support,not-in-family,0,-65400,2/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,1316 Britain Ridge,3,YES,1,1,YES,88400,17680,8840,61880,N
305,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,own-child,0,-42100,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,5924 Maple Drive,3,YES,0,2,?,66550,12100,6050,48400,N
276,100/300,1000,1724.09,0,MALE,PhD,craft-repair,own-child,0,0,1/12/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,8917 Tree Ridge,3,YES,0,0,?,65780,5980,11960,47840,N
257,250/500,500,1379.93,0,MALE,MD,armed-forces,husband,0,0,2/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,3966 Francis Ridge,3,?,0,2,YES,51810,9420,4710,37680,Y
78,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,own-child,0,-27900,2/3/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,1507 Solo Ave,1,NO,1,0,NO,55660,5060,10120,40480,Y
129,500/1000,1000,1377.94,0,MALE,Masters,machine-op-inspct,not-in-family,0,0,2/21/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,4272 Oak Ridge,1,?,2,3,?,44640,9920,4960,29760,N
283,500/1000,2000,1313.33,0,FEMALE,PhD,transport-moving,husband,53500,-73600,1/9/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,4434 Lincoln Ave,3,?,1,3,NO,77660,7060,14120,56480,Y
85,250/500,500,1259.02,0,FEMALE,JD,tech-support,unmarried,67000,-53600,2/16/2015,Parked Car,?,Trivial Damage,None,7529 Solo Ridge,1,NO,2,2,?,5640,940,940,3760,N
101,500/1000,1000,1371.88,0,FEMALE,MD,prof-specialty,husband,0,0,2/4/2015,Parked Car,?,Trivial Damage,None,8096 Apache Hwy,1,?,2,2,?,3190,580,580,2030,N
96,100/300,500,1399.27,6000000,MALE,College,prof-specialty,wife,38900,-48700,2/24/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,9417 Tree Hwy,1,?,0,0,YES,53440,0,6680,46760,N
121,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,unmarried,0,0,2/1/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,3809 Texas Lane,1,NO,0,1,YES,65250,7250,7250,50750,N
176,250/500,500,1365.46,4000000,MALE,College,armed-forces,unmarried,0,-56600,2/5/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,1540 Apache Lane,3,NO,2,1,NO,44280,4920,4920,34440,N
159,500/1000,1000,894.4,0,MALE,Associate,tech-support,wife,0,-53700,1/7/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,2337 Lincoln Hwy,1,YES,2,0,NO,70290,7810,7810,54670,N
120,250/500,500,956.69,0,FEMALE,Associate,priv-house-serv,husband,39600,-64300,2/6/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,6770 1st St,1,?,1,1,YES,87100,8710,8710,69680,N
212,500/1000,2000,1123.89,0,MALE,MD,priv-house-serv,unmarried,35400,-49200,1/21/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,4119 Texas St,3,?,1,3,?,50380,4580,4580,41220,N
290,100/300,500,1085.03,0,FEMALE,JD,sales,wife,0,-61000,3/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,4347 2nd Ridge,3,YES,2,2,NO,64800,12960,6480,45360,Y
299,100/300,2000,1437.33,0,FEMALE,Associate,craft-repair,wife,25000,0,2/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,1091 1st Drive,1,YES,1,3,NO,70400,12800,12800,44800,N
66,250/500,1000,988.29,0,MALE,College,armed-forces,own-child,0,0,2/2/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,8203 Lincoln Ave,1,?,2,2,YES,57860,0,10520,47340,Y
334,500/1000,500,1238.89,0,MALE,Masters,protective-serv,other-relative,0,0,1/31/2015,Vehicle Theft,?,Minor Damage,None,9154 MLK Hwy,1,?,0,3,NO,6240,960,960,4320,N
216,100/300,1000,1384.64,5000000,FEMALE,Associate,tech-support,unmarried,0,0,1/9/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,5780 4th Ave,1,?,2,3,NO,66600,16650,11100,38850,Y
86,100/300,2000,1595.07,0,MALE,PhD,transport-moving,unmarried,75800,0,2/23/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,6945 Texas Hwy,1,YES,0,2,YES,70920,11820,11820,47280,N
429,250/500,1000,1127.89,6000000,MALE,Associate,machine-op-inspct,own-child,67400,-43800,1/28/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,5639 1st Ridge,1,YES,2,0,YES,39480,6580,6580,26320,N
257,500/1000,2000,929.7,6000000,FEMALE,PhD,handlers-cleaners,husband,46400,-74300,1/14/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,3834 Pine St,1,?,2,2,YES,63240,10540,5270,47430,N
15,100/300,1000,1829.63,0,MALE,JD,tech-support,not-in-family,56700,0,2/3/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,1358 Maple St,3,YES,1,0,?,67650,12300,6150,49200,N
230,100/300,1000,904.7,7000000,FEMALE,MD,craft-repair,unmarried,68600,-22300,2/17/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,7460 Apache Lane,1,?,1,3,NO,74200,14840,14840,44520,Y
250,500/1000,1000,1243.84,0,FEMALE,JD,tech-support,own-child,47900,-73400,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,5771 Sky Ave,1,YES,1,3,NO,64900,12980,12980,38940,N
270,500/1000,2000,1030.95,0,FEMALE,Associate,machine-op-inspct,other-relative,47200,0,2/3/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,2865 Maple Lane,3,?,1,0,NO,35900,7180,3590,25130,Y
65,100/300,500,1285.03,3000000,FEMALE,High School,craft-repair,unmarried,0,-41500,2/3/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8940 Elm Ave,1,NO,1,3,?,52200,5220,10440,36540,N
475,100/300,500,1216.56,0,MALE,Masters,adm-clerical,own-child,67400,-83200,1/31/2015,Single Vehicle Collision,Front Collision,Minor Damage,Police,1215 Pine Hwy,1,?,0,2,NO,78000,6500,13000,58500,N
77,500/1000,2000,966.26,0,FEMALE,High School,adm-clerical,own-child,56400,-32800,2/6/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6874 Maple Ridge,3,YES,0,0,?,67200,6720,6720,53760,N
256,100/300,500,1203.17,0,FEMALE,MD,prof-specialty,unmarried,56700,-65600,2/6/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,8834 Elm Drive,1,NO,0,0,?,63250,11500,5750,46000,N
229,250/500,2000,1212.12,0,FEMALE,MD,craft-repair,not-in-family,65600,0,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,8542 Lincoln Ridge,3,YES,1,1,YES,68760,11460,5730,51570,N
110,250/500,1000,1573.93,0,MALE,College,other-service,other-relative,30400,0,1/7/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,9397 Francis St,3,YES,0,2,?,65040,10840,10840,43360,N
177,100/300,1000,1609.67,0,MALE,College,adm-clerical,wife,0,-13200,1/20/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,4907 Andromedia Drive,1,?,1,3,?,82800,20700,13800,48300,Y
292,500/1000,500,1097.57,0,MALE,PhD,priv-house-serv,unmarried,0,0,2/28/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,4429 Washington St,1,NO,1,0,YES,61700,6170,6170,49360,N
451,250/500,2000,1618.65,2000000,FEMALE,Associate,transport-moving,unmarried,0,-42600,2/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,2651 MLK Lane,3,YES,2,1,YES,78100,15620,7810,54670,Y
61,100/300,500,922.67,0,FEMALE,College,priv-house-serv,other-relative,47400,0,1/12/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,2942 1st Lane,3,YES,2,1,?,65520,9360,9360,46800,Y
150,100/300,1000,1342.02,0,MALE,MD,prof-specialty,own-child,0,0,2/28/2015,Parked Car,?,Trivial Damage,None,6317 Best St,1,YES,0,2,NO,4500,450,450,3600,N
283,100/300,500,1195.01,0,FEMALE,Associate,sales,own-child,60700,-54300,1/8/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,1555 Washington Lane,3,NO,0,2,?,42700,0,6100,36600,Y
291,500/1000,1000,994.74,0,FEMALE,High School,adm-clerical,own-child,0,-55300,1/25/2015,Parked Car,?,Minor Damage,Police,1919 4th Lane,1,NO,2,2,YES,5580,620,620,4340,Y
162,100/300,1000,1050.24,0,FEMALE,Masters,adm-clerical,wife,30700,0,2/26/2015,Parked Car,?,Minor Damage,None,5480 3rd Ridge,1,?,0,0,NO,3600,360,720,2520,Y
154,250/500,2000,1313.51,7000000,FEMALE,Masters,exec-managerial,own-child,68500,0,2/3/2015,Vehicle Theft,?,Trivial Damage,None,8864 Tree Ridge,1,?,2,0,?,2800,280,280,2240,N
289,500/1000,2000,1102.29,0,FEMALE,Associate,adm-clerical,own-child,73000,-37900,1/31/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,2777 Solo Drive,1,NO,1,0,YES,54000,6000,6000,42000,N
10,250/500,1000,1185.78,0,FEMALE,JD,craft-repair,wife,0,-60700,2/1/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,9929 Rock Drive,1,?,0,2,?,48950,4450,8900,35600,Y
309,500/1000,500,1527.95,0,MALE,PhD,exec-managerial,other-relative,69400,0,2/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4143 Maple Ridge,4,YES,0,1,?,77800,15560,15560,46680,N
396,100/300,1000,1366.39,0,MALE,High School,protective-serv,other-relative,0,-22400,1/30/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,7121 Rock St,3,YES,2,1,NO,52560,11680,5840,35040,N
273,500/1000,1000,1403.9,0,FEMALE,PhD,farming-fishing,own-child,0,0,1/31/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,9067 Texas Ave,2,?,1,2,YES,44110,4010,8020,32080,N
129,500/1000,2000,927.23,0,FEMALE,PhD,sales,husband,51500,0,1/13/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,9245 Weaver Ridge,1,NO,1,3,?,74360,13520,6760,54080,N
140,250/500,2000,1554.86,6000000,FEMALE,JD,armed-forces,wife,59000,0,2/16/2015,Parked Car,?,Minor Damage,None,4585 Francis Ave,1,YES,1,2,?,6120,680,680,4760,Y
